,Fecha,Pedido #,Ingresos netos (con formato),Estado,Tipo de cliente,Producto(s),Artículos vendidos,Cupón(es),Ingresos netos,Atribución,Número de factura
14,2024-07-15 21:04:22,66071,"40,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
15,2024-07-15 21:03:26,66070,"40,00€",completed,returning,"1× Cybercola Cherry - Botella 33cl, 2× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
16,2024-07-15 21:02:46,66069,"40,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
17,2024-07-15 20:52:19,66068,"80,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",7,,66.12,Fuente: Amigos+Cybercola+Barcelona,
18,2024-07-15 20:43:46,66067,"40,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Pika, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
19,2024-07-15 20:43:01,66066,"39,99€",completed,returning,"1× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
20,2024-07-15 20:40:07,66065,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
21,2024-07-15 20:15:00,66064,"39,99€",completed,returning,"1× Cybercola Zero - Botella 33cl, 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
22,2024-07-15 20:11:35,66063,"19,00€",completed,new,1× Cybercola Zero - Lata 33cl,1,,15.7,Fuente: Amigos+Cybercola+Barcelona,
23,2024-07-15 20:04:07,66062,"40,00€",completed,returning,"3× Cybercola Txirene, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
24,2024-07-15 20:00:00,66061,"39,99€",completed,returning,"1× Cybercola Zero - Botella 33cl, 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
25,2024-07-15 17:54:28,66059,"50,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
26,2024-07-15 19:47:37,66058,"39,99€",completed,returning,"1× Cybercola Zero - Botella 33cl, 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
27,2024-07-15 19:44:22,66057,"40,00€",completed,returning,"1× Cybercola Zero - Botella 33cl, 2× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Google,
28,2024-07-15 19:38:21,66056,"40,00€",completed,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Txirene, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
29,2024-07-15 19:30:42,66054,"120,01€",completed,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero - Botella 33cl, 3× Cybercola Zero - Botella 33cl, 3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",10,,99.18,Fuente: Amigos+Cybercola+Barcelona,
30,2024-07-15 19:17:25,66052,"40,00€",completed,returning,"2× Cybercola Zero - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Directo,
31,2024-07-15 19:16:11,66051,"40,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Directo,
32,2024-07-15 19:07:16,66048,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
33,2024-07-15 19:09:30,66050,"40,01€",completed,returning,"1× Cybercola Light - Botella 33 cl., 2× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
34,2024-07-15 19:08:03,66049,"39,99€",completed,returning,"2× Cybercola Pika, 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Directo,
35,2024-07-15 19:02:21,66047,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Referido: Mailchi.mp,
36,2024-07-15 17:33:07,66027,"40,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Referido: Comunidadmsm.es,
37,2024-07-15 19:02:01,66046,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
38,2024-07-15 18:42:02,66043,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Orgánico: Google,
39,2024-07-15 18:36:14,66042,"40,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
40,2024-07-15 18:21:25,66041,"40,01€",completed,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
41,2024-07-15 18:19:49,66040,"40,00€",completed,returning,"1× Cybercola Zero - Botella 33cl, 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Txirene, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
42,2024-07-15 18:16:24,66039,"40,00€",completed,returning,"2× Cybercola Zero - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Google,
43,2024-07-15 18:09:20,66038,"39,99€",completed,returning,"2× Cybercola Txirene, 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
44,2024-07-15 17:57:41,66037,"40,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
45,2024-07-15 17:56:45,66036,"40,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
46,2024-07-15 17:54:32,66035,"40,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
47,2024-07-15 17:52:04,66034,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
48,2024-07-15 15:46:56,66033,"40,01€",completed,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Directo,
49,2024-07-15 17:45:40,66031,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
50,2024-07-15 17:45:10,66030,"40,00€",completed,returning,"1× Cybercola Zero - Botella 33cl, 2× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
51,2024-07-15 17:45:45,66032,"39,99€",completed,returning,"1× Cybercola Zero - Botella 33cl, 2× Cybercola Txirene, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
52,2024-07-15 17:43:35,66029,"40,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
53,2024-07-15 17:34:22,66028,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
54,2024-07-15 17:26:37,66026,"40,00€",completed,returning,"3× Cybercola Pika, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
55,2024-07-15 17:22:52,66025,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
56,2024-07-15 15:15:25,66024,"50,01€",completed,returning,"1× Cybercola Zero - Botella 33cl, 2× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
57,2024-07-15 17:07:56,66023,"120,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 3× Cybercola Light - Botella 33 cl., 3× Cybercola Pika, 1× Cybercola Zero – Lata 33cl Edición Verano",10,,99.18,Fuente: Amigos+Cybercola+Barcelona,
58,2024-07-15 16:59:27,66022,"40,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
59,2024-07-15 16:55:24,66021,"40,01€",completed,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
60,2024-07-15 16:51:34,66020,"40,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
61,2024-07-15 16:44:37,66019,"40,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Google,
62,2024-07-15 16:41:45,66018,"40,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Google,
63,2024-07-15 16:37:52,66017,"40,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Google,
64,2024-07-15 16:34:02,66016,"40,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
65,2024-07-15 14:06:44,66010,"49,99€",completed,returning,"2× Cybercola Zero - Botella 33cl, 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
66,2024-07-15 16:05:36,66009,"40,00€",completed,returning,"1× Cybercola Zero - Botella 33cl, 2× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
67,2024-07-15 15:54:18,66007,"40,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
68,2024-07-15 15:32:01,66006,"40,01€",completed,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
69,2024-07-15 14:58:24,66005,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
70,2024-07-15 14:54:00,66004,"40,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
71,2024-07-15 14:45:34,66003,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
72,2024-07-15 12:43:17,66002,"49,99€",completed,returning,"1× Cybercola Zero - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Directo,
73,2024-07-15 14:10:22,66001,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
74,2024-07-15 13:43:47,66000,"40,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
75,2024-07-15 13:05:13,65998,"40,00€",completed,returning,"2× Cybercola Zero - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Orgánico: Google,
76,2024-07-15 13:05:48,65999,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
77,2024-07-15 12:52:57,65997,"39,99€",completed,returning,"1× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Orgánico: Google,
78,2024-07-15 12:50:43,65996,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
79,2024-07-15 12:49:38,65994,"90,00€",recogida,returning,"6× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",7,,66.12,Fuente: Amigos+Cybercola+Barcelona,
80,2024-07-15 12:50:04,65995,"120,00€",recogida,returning,"9× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",10,,99.17,Fuente: Amigos+Cybercola+Barcelona,
81,2024-07-15 12:46:37,65993,"40,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
82,2024-07-15 12:30:00,65992,"40,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Google,
83,2024-07-15 12:28:52,65991,"120,00€",completed,returning,"9× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",10,,99.17,Orgánico: Google,
84,2024-07-15 12:21:24,65990,"40,00€",completed,returning,"1× Cybercola Cherry - Botella 33cl, 2× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Directo,
85,2024-07-15 12:19:16,65989,"40,00€",completed,returning,"1× Cybercola Cherry - Botella 33cl, 2× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Directo,
86,2024-07-15 12:13:46,65988,"210,01€",recogida,returning,"12× Cybercola Zero - Botella 33cl, 1× Cybercola Zero - Botella 33cl, 2× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",16,,165.29,Fuente: Amigos+Cybercola+Barcelona,
87,2024-07-15 12:03:08,65987,"40,00€",completed,returning,"1× Cybercola Cherry - Botella 33cl, 1× Cybercola Pika, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
88,2024-07-15 12:00:33,65986,"40,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
89,2024-07-15 11:51:51,65985,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
90,2024-07-15 11:48:07,65984,"40,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
91,2024-07-15 11:45:16,65983,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Orgánico: Google,
92,2024-07-15 11:40:46,65980,"39,99€",completed,returning,"2× Cybercola Zero - Botella 33cl, 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Orgánico: Google,
93,2024-07-15 07:40:43,65979,"40,01€",completed,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
94,2024-07-15 11:35:07,65977,"40,00€",completed,returning,"1× Cybercola Zero - Botella 33cl, 2× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
95,2024-07-15 11:30:38,65976,"40,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
96,2024-07-15 11:24:49,65975,"80,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 2× Cybercola Zero - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",7,,66.12,Fuente: Amigos+Cybercola+Barcelona,
97,2024-07-15 11:20:18,65974,"39,99€",completed,returning,"2× Cybercola Zero - Botella 33cl, 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
98,2024-07-15 11:20:13,65973,"40,00€",completed,returning,"1× Cybercola Zero - Botella 33cl, 2× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Directo,
99,2024-07-15 11:16:14,65971,"40,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
100,2024-07-15 11:13:33,65970,"40,01€",completed,returning,"1× Cybercola Zero - Botella 33cl, 2× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
101,2024-07-15 11:05:05,65969,"39,99€",completed,returning,"1× Cybercola Zero - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Txirene, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
102,2024-07-15 10:55:45,65968,"40,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Google,
103,2024-07-15 10:51:35,65965,"80,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",7,,66.12,Fuente: Amigos+Cybercola+Barcelona,
104,2024-07-15 10:51:50,65966,"50,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
105,2024-07-15 10:46:56,65964,"39,99€",completed,returning,"1× Cybercola Zero - Botella 33cl, 2× Cybercola Txirene, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Google,
106,2024-07-15 10:23:19,65960,"80,00€",completed,returning,"6× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",7,,66.12,Fuente: Amigos+Cybercola+Barcelona,
107,2024-07-15 10:30:03,65962,"40,01€",completed,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
108,2024-07-15 10:24:59,65961,"40,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Referido: Mailchi.mp,
109,2024-07-15 10:22:00,65959,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
110,2024-07-15 10:21:17,65958,"50,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
111,2024-07-15 10:18:47,65956,"90,00€",recogida,returning,"6× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",7,,66.12,Fuente: Amigos+Cybercola+Barcelona,
112,2024-07-15 10:19:31,65957,"40,00€",completed,returning,"1× Cybercola Zero - Botella 33cl, 1× Cybercola Pika, 1× Cybercola Txirene, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
113,2024-07-15 10:16:03,65954,"40,00€",completed,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Pika, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
114,2024-07-15 10:17:13,65955,"40,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
115,2024-07-15 10:09:48,65949,"40,00€",completed,returning,"3× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
116,2024-07-15 10:13:20,65953,"50,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Google,
117,2024-07-15 10:11:47,65951,"40,00€",completed,returning,"2× Cybercola Pika, 1× Cybercola Txirene, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
118,2024-07-15 10:12:24,65952,"40,00€",completed,returning,"2× Cybercola Zero - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
